DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT
2018-04-25	24076602	Beecham AH	2013-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24076602	Analysis of immune-related loci identifies 48 new susceptibility variants for multiple sclerosis.	Multiple sclerosis	14,498 European ancestry cases, 24,091 European ancestry controls	14,802 European ancestry cases, 26,703 European ancestry controls	Illumina [161311]	126
2018-04-25	24097067	Lessard CJ	2013-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097067	Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.	Sjögren's syndrome	1,541 European ancestry cases, 2,634 European ancestry controls	NA	Illumina [102585]	6
2017-10-13	24097067	Lessard CJ	2013-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097067	Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.	Sjögren's syndrome	395 European ancestry cases, 1,975 European ancestry controls	1,158 European ancestry cases, 3,071 European ancestry controls	Illumina [648937]	3
2017-10-13	24097067	Lessard CJ	2013-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097067	Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.	Sjögren's syndrome	395 European ancestry cases, 1,975 European ancestry controls	1,243 European ancestry cases, 4,779 European ancestry controls	Illumina [648937]	15
2014-05-13	24192120	Kamide K	2013-11-01	Pharmacogenomics	www.ncbi.nlm.nih.gov/pubmed/24192120	Genome-wide response to antihypertensive medication using home blood pressure measurements: a pilot study nested within the HOMED-BP study.	Blood pressure (response to antihypertensive medication)	265 Japanese ancestry individuals	79 Japanese ancestry individuals	Affymetrix [298046]	0
2014-04-15	24172245	Haga S	2013-10-31	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24172245	A genome-wide association study of third molar agenesis in Japanese and Korean populations.	Tooth agenesis (maxillary third molar)	125 East Asian ancestry maxillary cases, 24 East Asian ancestry mandibular cases, 338 East Asian ancestry controls	NA	Illumina [532105]	0
2014-04-15	24172245	Haga S	2013-10-31	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24172245	A genome-wide association study of third molar agenesis in Japanese and Korean populations.	Tooth agenesis (third molar)	149 East Asian ancestry cases, 338 East Asian ancestry controls	NA	Illumina [532105]	1
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (age of onset)	at least 1,000 Chinese ancestry cases	NA	Affymetrix [603382]	3
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy (onset before 2009 H1N1 influenza pandemic)	up to 893 Chinese ancestry cases with onset before the 2009 H1N1 influenza pandemic, up to 373 Chinese ancestry cases with onset after the 2009 H1N1 influenza pandemic	NA	Affymetrix [603382]	2
2014-05-13	24204295	Han F	2013-10-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24204295	Genome wide analysis of narcolepsy in China implicates novel immune loci and reveals changes in association prior to versus after the 2009 H1N1 influenza pandemic.	Narcolepsy	1,189 Chinese ancestry cases, 1,997 Chinese ancestry controls	2,693 European ancestry cases, 11,495 European ancestry controls	Affymetrix [603382]	5
2014-04-15	24172245	Haga S	2013-10-31	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24172245	A genome-wide association study of third molar agenesis in Japanese and Korean populations.	Tooth agenesis (mandibular third molar)	80 East Asian ancestry mandibular cases, 69 East Asian ancestry maxillary cases, 338 East Asian ancestry controls	NA	Illumina [532105]	2
2014-04-15	24182552	Matteini AM	2013-10-29	Cytokine	www.ncbi.nlm.nih.gov/pubmed/24182552	Novel gene variants predict serum levels of the cytokines IL-18 and IL-1ra in older adults.	Inflammatory biomarkers	4,443 European ancestry older adult individuals	NA	Illumina [2543887] (imputed)	3
2014-05-03	24166486	Sleiman P	2013-10-29	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/24166486	GWAS meta analysis identifies TSNARE1 as a novel Schizophrenia / Bipolar susceptibility locus.	Schizophrenia, schizoaffective disorder or bipolar disorder	11,985 European, African American, Asian, other and unknown ancestry schizophrenia cases, 377 European, African American, Asian, other and unknown ancestry schizoaffective disorder cases, 1,032 bipolar disorder cases, 34,676 European, African American, Asian, other and unknown ancestry controls	2652 individuals	Affymetrix, Illumina [NR] (imputed)	5
2014-05-13	24204828	Zheng JS	2013-10-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24204828	Genome-wide contribution of genotype by environment interaction to variation of diabetes-related traits.	Homeostasis model assessment of beta-cell function (dietary factor interaction)	820 European ancestry individuals	NA	Affymetrix [590000]	12
2014-05-13	24204828	Zheng JS	2013-10-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24204828	Genome-wide contribution of genotype by environment interaction to variation of diabetes-related traits.	Homeostasis model assessment of insulin resistance (dietary factor interaction)	820 European ancestry individuals	NA	Affymetrix [590000]	15
2014-05-13	24204828	Zheng JS	2013-10-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24204828	Genome-wide contribution of genotype by environment interaction to variation of diabetes-related traits.	Fasting insulin (dietary factor interaction)	820 European ancestry individuals	NA	Affymetrix [590000]	14
2014-04-26	24165912	He J	2013-10-28	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24165912	Genome-wide association study identifies 8 novel loci associated with blood pressure responses to interventions in Han Chinese.	Blood pressure measurement (high sodium intervention)	1,840 Han Chinese ancestry individuals	659 Han Chinese ancestry individuals	Affymetrix [2216774] (imputed)	11
2014-04-26	24165912	He J	2013-10-28	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24165912	Genome-wide association study identifies 8 novel loci associated with blood pressure responses to interventions in Han Chinese.	Blood pressure measurement (low sodium intervention)	1,850 Han Chinese ancestry individuals	660 Han Chinese ancestry individuals	Affymetrix [2216774] (imputed)	10
2014-04-26	24165912	He J	2013-10-28	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24165912	Genome-wide association study identifies 8 novel loci associated with blood pressure responses to interventions in Han Chinese.	Blood pressure measurement (high sodium and potassium intervention)	1,836 Han Chinese ancestry individuals	654 Han Chinese ancestry individuals	Affymetrix [2216774] (imputed)	13
2014-04-26	24165912	He J	2013-10-28	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24165912	Genome-wide association study identifies 8 novel loci associated with blood pressure responses to interventions in Han Chinese.	Blood pressure measurement (cold pressor test)	1,881 Han Chinese ancestry individuals	698 Han Chinese ancestry individuals	Affymetrix [2216774] (imputed)	7
2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	Illumina [7055881] (imputed)	33
2014-04-15	24162738	Hu Z	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162738	New loci associated with chronic hepatitis B virus infection in Han Chinese.	Hepatitis B	951 Han Chinese ancestry HBV carrier cases, 937 Han Chinese ancestry HBV cleared controls	4,230 Chinese ancestry HBV carrier cases, 3,051 Chinese ancestry HBV cleared controls, 2,622 Chinese ancestry controls	Illumina [490610]	3
2014-04-11	24513584	Oei L	2013-10-25	Bone	www.ncbi.nlm.nih.gov/pubmed/24513584	Genome-wide Association Study for Radiographic Vertebral Fractures: A Potential Role for the 16q24 BMD Locus versus Lessons Learned from Challenging Phenotype Definition.	Fractures (vertebral)	329 European ancestry cases, 2,666 European ancestry controls	5,619 European ancestry cases, 20,598 European ancestry controls, 101 Korean ancestry cases, 1,193 Korean ancestry controls	Illumina [2543887] (imputed)	0
2014-05-01	24163127	Figueroa JD	2013-10-24	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24163127	Genome-wide association study identifies multiple loci associated with bladder cancer risk.	Bladder cancer	6,911 European ancestry cases, 11,818 European ancestry controls	801 cases, 1,307 controls	Illumina [462190]	7
2014-05-02	24159190	Seppala I	2013-10-24	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/24159190	Genome-wide association study on dimethylarginines reveals novel AGXT2 variants associated with heart rate variability but not with overall mortality.	Serum dimethylarginine levels (asymmetric/symetric ratio)	5110 European ancestry individuals	NA	Affymetrix, Illumina [10085758] (imputed)	24
2014-05-02	24159190	Seppala I	2013-10-24	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/24159190	Genome-wide association study on dimethylarginines reveals novel AGXT2 variants associated with heart rate variability but not with overall mortality.	Symmetrical dimethylarginine levels	5110 European ancestry individuals	NA	Affymetrix, Illumina [10085758] (imputed)	30
2014-05-02	24159190	Seppala I	2013-10-24	Eur Heart J	www.ncbi.nlm.nih.gov/pubmed/24159190	Genome-wide association study on dimethylarginines reveals novel AGXT2 variants associated with heart rate variability but not with overall mortality.	Asymmetrical dimethylarginine levels	5110 European ancestry individuals	NA	Affymetrix, Illumina [10085758] (imputed)	21
2014-04-15	24152035	Goodbourn PT	2013-10-23	Genes Brain Behav	www.ncbi.nlm.nih.gov/pubmed/24152035	Variants in the 1q21 risk region are associated with a visual endophenotype of autism and schizophrenia.	Contrast sensitivity	985 European ancestry individuals	NA	Illumina [642758]	5
2014-05-13	24149102	Frampton M	2013-10-22	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/24149102	Variation at 3p24.1 and 6q23.3 influences the risk of Hodgkin's lymphoma.	Hodgkin's lymphoma	1,465 European ancestry cases, 6,417 European ancestry controls	1,071 European ancestry cases, 953 cases, 1,853 controls	Illumina [296129]	6
2015-05-18	24141364	Perez-Andreu V	2013-10-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24141364	Inherited GATA3 variants are associated with Ph-like childhood acute lymphoblastic leukemia and risk of relapse.	Acute lymphoblastic leukemia (childhood)	75 European, Asian, African American, and Hispanic ancestry Ph-like ALL cases, 436 European, Asian, African American, and Hispanic ancestry non Ph-like ALL cases, 6,661 European, Asian, African American, and Hispanic ancestry non-ALL controls	32 European, Asian, African American, and Hispanic ancestry Ph-like ALL cases, 139 European, Asian, African American, and Hispanic ancestry non Ph-like ALL cases, 3,647 European ancestry non-ALL controls, 1,228 African American non-ALL controls, 920 Hispanic non-ALL controls, 25 Native American non-ALL controls	Affymetrix [up to 761049]	0
2014-04-25	24143882	Gelernter J	2013-10-19	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24143882	Genome-wide association study of opioid dependence: multiple associations mapped to calcium and potassium pathways.	Opioid sensitivity	1,383 European ancestry cases, 996 European ancestry controls, 683 African American cases, 2,635 African American controls	2,116 European ancestry individuals, 4,496 African American individuals	Illumina [988306]	3
2014-04-10	24143190	Low SK	2013-10-15	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24143190	Genome-wide association study of breast cancer in the Japanese population.	Breast cancer	2,642 Japanese ancestry cases, 2,099 Japanese ancestry controls	2,885 Japanese ancestry cases, 3,395 Japanese ancestry controls	Illumina [5335291] (imputed)	4
2014-04-26	24105470	Wu Y	2013-10-14	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24105470	A meta-analysis of genome-wide association studies for adiponectin levels in East Asians identifies a novel locus near WDR11-FGFR2.	Adiponectin levels	7,827 East Asian ancestry individuals	10,252 East Asian ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	10
2014-04-10	24121790	Levine DM	2013-10-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24121790	A genome-wide association study identifies new susceptibility loci for esophageal adenocarcinoma and Barrett's esophagus.	Esophageal adenocarcinoma	1,516 European ancestry cases, 3,209 European ancestry controls	874 European ancestry cases, 6,911 European ancestry controls	Illumina [922031]	8
2014-04-10	24121790	Levine DM	2013-10-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24121790	A genome-wide association study identifies new susceptibility loci for esophageal adenocarcinoma and Barrett's esophagus.	Barrett's esophagus	2,416 European ancestry cases, 3,206 European ancestry controls	759 European ancestry cases, 6,911 European ancestry controls	Illumina [922031]	7
2014-04-10	24121790	Levine DM	2013-10-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24121790	A genome-wide association study identifies new susceptibility loci for esophageal adenocarcinoma and Barrett's esophagus.	Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)	3,928 European ancestry cases, 3,207 European ancestry controls	1,636 European ancestry cases, 6,911 European ancestry controls	Illumina [922031]	10
2014-04-10	24114350	Zhang M	2013-10-11	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24114350	A genome-wide association study of severe teenage acne in European Americans.	Acne (severe teenage)	81 European ancestry cases, 847 European ancestry controls	134 European ancestry cases, 1,258 European ancestry controls	Illumina [2165857] (imputed)	0
2014-04-11	24133439	Jones RM	2013-10-11	Front Hum Neurosci	www.ncbi.nlm.nih.gov/pubmed/24133439	Genome-wide association study of autistic-like traits in a general population study of young adults.	Social autistic-like traits	965 European ancestry young adult individuals	NA	Illumina [2462046] (imputed)	6
2014-04-25	24064335	Pei YF	2013-10-08	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24064335	Meta-analysis of genome-wide association data identifies novel susceptibility loci for obesity.	Body mass index	8,463 European ancestry individuals, 7,478 African American individuals, 3,348 Hispanic individuals, 1,624 Han Chinese ancestry individuals	4,979 European ancestry individuals, 2,740 Han Chinese ancestry individuals	Affymetrix, Illumina [4325550] (imputed)	3
2014-04-25	24064335	Pei YF	2013-10-08	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24064335	Meta-analysis of genome-wide association data identifies novel susceptibility loci for obesity.	Fat body mass	6,433 European ancestry individuals, 709 African American individuals, 408 Hispanic individuals, 1,622 Han Chinese ancestry individuals	4,967 European ancestry individuals, 2,740 Han Chinese ancestry individuals	Affymetrix, Illumina [4325550] (imputed)	2
2014-04-08	24216480	Song YQ	2013-10-08	J Clin Invest	www.ncbi.nlm.nih.gov/pubmed/24216480	Lumbar disc degeneration is linked to a carbohydrate sulfotransferase 3 variant.	Disc degeneration (lumbar)	366 Japanese ancestry cases, 3,331 Japanese ancestry controls	1,628 East Asian ancestry cases, 17,469 East Asian ancestry controls, 399 European ancestry cases, 5,035 European ancestry control	Illumina [464775]	2
2014-05-01	24101674	Hanson RL	2013-10-07	Diabetes	www.ncbi.nlm.nih.gov/pubmed/24101674	A genome-wide association study in American Indians implicates DNER as a susceptibility locus for type 2 diabetes.	Type 2 diabetes	278 American Indian ancestry young-onset cases, 129 American Indian ancestry cases, 424 American Indian ancestry controls from 514 sibships	1,273 American Indian ancestry cases, 1,635 American Indian ancestry controls, 793 cases, 3,133 controls	Affymetrix [453654]	2
2014-04-04	24097066	Li Y	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097066	A genome-wide association study in Han Chinese identifies a susceptibility locus for primary Sjögren's syndrome at 7q11.23.	Sjögren's syndrome	542 Han Chinese ancestry cases, 1,050 Han Chinese ancestry controls	1,303 Han Chinese ancestry cases, 2,727 Han Chinese ancestry controls	Affymetrix [556134]	5
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Triglycerides	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	40
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	73
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	58
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	HDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	71
2014-05-12	24096698	De Vivo I	2013-10-06	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	2,695 European ancestry cases, 2,777 European ancestry controls	2,261 cases,  3,357 controls	Illumina [873935]	0
2014-05-12	24096698	De Vivo I	2013-10-06	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24096698	Genome-wide association study of endometrial cancer in E2C2.	Endometrial cancer	up to 2,695 European ancestry cases, up to 2,777 European ancestry controls	up to 3,235 cases, up to 12,059 controls	Illumina [873935]	9
2014-05-13	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Triglycerides	94,595 European ancestry individuals	8,743 East Asian ancestry individuals	NR [NR] (imputed)	1
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	94,595 European ancestry individuals	up to 4,420 African ancestry individuals	NR [NR] (imputed)	1
2014-05-01	24094242	Li J	2013-10-05	BMC Genomics	www.ncbi.nlm.nih.gov/pubmed/24094242	Genome-wide association study on serum alkaline phosphatase levels in a Chinese population.	Serum alkaline phosphatase levels	1,452 Han Chinese ancestry individuals	8,830 Han Chinese ancestry individuals	Affymetrix [658288]	4
2014-04-16	24098343	Polfus LM	2013-10-03	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24098343	Genome-wide association study of gene by smoking interactions in coronary artery calcification.	Coronary artery calcification (smoking interaction)	915 European ancestry individuals	1,025 European ancestry individuals	Affymetrix [2171047] (imputed)	0
2014-04-05	24084763	Wang J	2013-10-01	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/24084763	Germline variants and advanced colorectal adenomas: adenoma prevention with celecoxib trial genome-wide association study.	Colorectal adenoma (advanced)	139 European ancestry cases, 1,267 European ancestry controls	4,175 European ancestry cases, 5,036 European ancestry controls	Illumina [NR]	0
2014-04-09	24159609	Choi H	2013-10-01	Br J Haematol	www.ncbi.nlm.nih.gov/pubmed/24159609	Genome-wide genotype-based risk model for survival in acute myeloid leukaemia patients with normal karyotype.	Acute myeloid leukemia	118 Korean ancestry individuals	129 Korean ancestry individuals	Affymetrix [632957]	0
2014-04-09	24132900	Kanazawa T	2013-10-01	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24132900	Genome-wide association study of atypical psychosis.	Psychosis (atypical)	47 Japanese ancestry cases, 882 Japanese ancestry controls	NA	Affymetrix [545513]	10
2014-03-27	24124411	Park TJ	2013-09-30	Genomics Inform	www.ncbi.nlm.nih.gov/pubmed/24124411	Genome-wide association study of liver enzymes in korean children.	Liver enzyme levels (alanine transaminase)	484 Korean ancestry children	NA	Illumina [747076]	11
2014-03-27	24124411	Park TJ	2013-09-30	Genomics Inform	www.ncbi.nlm.nih.gov/pubmed/24124411	Genome-wide association study of liver enzymes in korean children.	Liver enzyme levels (aspartate transaminase)	484 Korean ancestry children	NA	Illumina [747076]	8
2014-03-26	24124408	Hong KW	2013-09-30	Genomics Inform	www.ncbi.nlm.nih.gov/pubmed/24124408	Genome-wide association study of orthostatic hypotension and supine-standing blood pressure changes in two korean populations.	Orthostatic hypotension	667 Korean ancestry cases,  5,761 Korean ancestry controls	NA	Affymetrix [333651]	5
2014-04-01	24065183	Armour JA	2013-09-25	Heredity (Edinb)	www.ncbi.nlm.nih.gov/pubmed/24065183	Genome-wide association study of handedness excludes simple genetic models.	Handedness	263 European ancestry left-handed individuals, 2,092 European ancestry right-handed individuals	NA	Illumina [2535688] (imputed)	1
2014-04-01	24065183	Armour JA	2013-09-25	Heredity (Edinb)	www.ncbi.nlm.nih.gov/pubmed/24065183	Genome-wide association study of handedness excludes simple genetic models.	Handedness	173 European ancestry left-handed individuals, 1,412 European ancestry right-handed individuals	NA	Illumina [2499296] (imputed)	1
2014-03-26	24065354	Al-Qahtani A	2013-09-24	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24065354	Genome-wide association study of chronic hepatitis B virus infection reveals a novel candidate risk allele on 11q22.3.	Liver disease in chronic hepatitis B virus infection	up to 305 Arab ancestry cases, 343 Arab ancestry controls	48 Arab ancestry cases, 177 Arab ancestry controls	Affymetrix [530480]	0
2014-04-09	24086445	Wang Q	2013-09-24	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24086445	Genome-wide association analysis with gray matter volume as a quantitative phenotype in first-episode treatment-naïve patients with schizophrenia.	Gray matter volume (schizophrenia interaction)	74 Han Chinese ancestry cases, 51 Han Chinese ancestry controls	NA	NR [1983054] (imputed)	3
2014-03-27	24068962	O'Seaghdha CM	2013-09-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24068962	Meta-analysis of genome-wide association studies identifies six new Loci for serum calcium concentrations.	Calcium levels	39,400 European ancestry individuals	Up to 21,679 European ancestry individuals	Affymetrix, Illumina [2500000] (imputed)	13
2014-08-08	24047446	Schosser A	2013-09-19	World J Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24047446	Genome-wide association study of co-occurring anxiety in major depression.	Anxiety and major depressive disorder	1,080 European ancestry cases, 1,588 European ancestry controls	NA	Illumina [471581]	3
2014-08-08	24047446	Schosser A	2013-09-19	World J Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24047446	Genome-wide association study of co-occurring anxiety in major depression.	Anxiety in major depressive disorder	1,080 European ancestry cases, 442 European ancestry controls	NA	Illumina [471581]	8
2014-04-04	24049095	Chen Z	2013-09-18	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24049095	Genome-wide association study of sex hormones, gonadotropins and sex hormone-binding protein in Chinese men.	Follicule stimulating hormone	1,999 Han Chinese ancestry individuals	1,496 East Asian ancestry individuals	Illumina [709211]	6
2014-03-26	24047826	Kleber ME	2013-09-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24047826	Genome-wide association study identifies 3 genomic loci significantly associated with serum levels of homoarginine: the AtheroRemo Consortium.	Homoarginine levels	5,143 European ancestry individuals	1,474 European ancestry individuals	Affymetrix, Illumina [2543887] (imputed)	1
2014-04-04	24049095	Chen Z	2013-09-18	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/24049095	Genome-wide association study of sex hormones, gonadotropins and sex hormone-binding protein in Chinese men.	Hormone measurements	1,999 Han Chinese ancestry individuals	1,496 East Asian ancestry individuals	Illumina [709211]	7
2014-04-10	24057671	Chimusa ER	2013-09-18	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24057671	Genome-wide association study of ancestry-specific TB risk in the South African Coloured population.	Tuberculosis	642 South African coloured cases, 91 South African coloured controls, (see Thye 2010)	NA	Affymetrix [1009364] (imputed)	2
2014-04-10	24057671	Chimusa ER	2013-09-18	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/24057671	Genome-wide association study of ancestry-specific TB risk in the South African Coloured population.	Tuberculosis	642 South African coloured cases, 91 South African coloured controls	NA	Affymetrix [up to 4467279] (imputed)	25
2014-04-01	24047820	St Pourcain B	2013-09-18	Mol Autism	www.ncbi.nlm.nih.gov/pubmed/24047820	Common variation contributes to the genetic architecture of social communication traits.	Social communication problems	5,584 European ancestry children	1,364 European ancestry children	Illumina [~ 2500000] (imputed)	4
2014-03-26	24046328	Bradley DT	2013-09-17	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/24046328	A variant in LDLR is associated with abdominal aortic aneurysm.	Abdominal aortic aneurysm	1,755 European ancestry cases, 5,314 European ancestry controls	1,658 European ancestry cases, 28,962 European ancestry controls, 1,725 cases, 3,791 controls	Illumina [503892]	1
2014-03-23	24045676	Pyun JA	2013-09-16	Menopause	www.ncbi.nlm.nih.gov/pubmed/24045676	Genome-wide association studies and epistasis analyses of candidate genes related to age at menarche and age at natural menopause in a Korean population.	Menopause (age at onset)	1,827 Korean ancestry females	NA	Affymetrix [343107]	2
2014-03-27	24043878	Wong EH	2013-09-16	Schizophr Bull	www.ncbi.nlm.nih.gov/pubmed/24043878	Common variants on Xq28 conferring risk of schizophrenia in Han Chinese.	Schizophrenia	481 Han Chinese ancestry cases, 2,025 Han Chinese ancestry controls	1,088 Han Chinese ancestry cases, 1,063 Han Chinese ancestry controls	Illumina [2383054] (imputed)	1
2014-03-23	24045676	Pyun JA	2013-09-16	Menopause	www.ncbi.nlm.nih.gov/pubmed/24045676	Genome-wide association studies and epistasis analyses of candidate genes related to age at menarche and age at natural menopause in a Korean population.	Menarche (age at onset)	3,437 Korean ancestry females	NA	Affymetrix [343637]	0
2014-03-25	24058526	Bhatnagar P	2013-09-13	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24058526	Genome-wide meta-analysis of systolic blood pressure in children with sickle cell disease.	Systolic blood pressure in sickle cell anemia	1617 African American cases	NA	Illumina [1019297] (imputed)	10
2014-04-01	24039173	McGrath LM	2013-09-13	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24039173	Genetic predictors of risk and resilience in psychiatric disorders: a cross-disorder genome-wide association study of functional impairment in major depressive disorder, bipolar disorder, and schizophrenia.	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia	2,246 European ancestry individuals	NA	Affymetrix [1633452] (imputed)	5
2014-03-23	24037343	Chang ALS	2013-09-13	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/24037343	Identification of genes promoting skin youthfulness by genome-wide association study.	Skin youthfulness	218 Ashkenazi Jewish cases, 210 Ashkenazi Jewish controls	408 Ashkenazi Jewish cases, 399 Ashkenazi Jewish controls	Affymetrix [901470]	0
2014-04-02	24068947	Brandler WM	2013-09-12	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24068947	Common variants in left/right asymmetry genes and pathways are associated with relative hand skill.	Relative hand skill in reading disability	728 European ancestry individuals with reading disability	NA	Illumina [2095209]	10
2014-03-22	24029427	Sandholm N	2013-09-12	J Am Soc Nephrol	www.ncbi.nlm.nih.gov/pubmed/24029427	Chromosome 2q31.1 associates with ESRD in women with type 1 diabetes.	End-stage renal disease in Type 1 diabetics	258 European ancestry female cases, 935 European ancestry female controls, 387 European ancestry male cases, 655 European ancestry male controls	178 European ancestry female cases, 594 European ancestry female controls, 251 European ancestry male cases, 494 European ancestry male controls, 252 female cases, 479 female controls, 256 male cases, 342 male controls	Illumina [2400000] (imputed)	1
2014-03-25	24026423	Shameer K	2013-09-12	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/24026423	A genome- and phenome-wide association study to identify genetic variants influencing platelet count and volume and their pleiotropic effects.	Mean platelet volume	6,291 European ancestry individuals	NA	Illumina [476395]	11
2014-04-02	24068947	Brandler WM	2013-09-12	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24068947	Common variants in left/right asymmetry genes and pathways are associated with relative hand skill.	Relative hand skill	2,666 European ancestry individuals	NA	Illumina [NR]	3
